origin,dest,km,days,expense,type,weight
50185,50235,193.789,1.172,0.117,coastal,117
50185,50238,293.28,1.857,0.186,coastal,186
50185,50270,99.922,3.331,3.497,road,3497
50185,50303,475.271,3.314,0.331,overseas,331
50185,50330,84.117,0.711,0.071,slowcoast,71
50185,50337,106.506,3.55,3.728,road,3728
50185,50462,155.948,1.249,0.125,coastal,125
50186,50032,59.047,1.968,2.067,road,2067
50186,50207,79.466,0.455,0.045,coastal,45
50186,50365,91.253,3.042,3.194,road,3194
50186,50730,49.61,1.654,1.736,road,1736
50187,50301,149.217,4.974,5.223,road,5223
50187,50751,79.662,2.655,2.788,road,2788
50188,50107,146.781,4.893,5.137,road,5137
50188,50369,160.671,5.356,5.623,road,5623
50188,50374,307.053,10.235,10.747,road,10747
50188,50495,125.592,0.875,0.088,coastal,88
50188,50498,110.178,0.72,0.072,coastal,72
50189,50254,32.62,1.087,1.142,road,1142
50189,50297,167.973,5.599,5.879,road,5879
50190,50140,77.471,2.582,2.711,road,2711
50190,50164,100.411,3.347,3.514,road,3514
50191,50296,131.948,4.398,4.618,road,4618
50191,50367,87.333,2.911,3.057,road,3057
50191,50750,176.892,5.896,6.191,road,6191
50192,50028,47.703,0.477,0.162,downstream,162
50192,50288,52.114,1.042,0.354,fastup,354
50192,50661,45.734,0.915,0.311,fastup,311
50193,50009,50.442,1.681,1.765,road,1765
50193,50102,39.183,1.306,1.371,road,1371
50194,50244,97.381,1.948,0.662,fastup,662
50194,50288,109.17,0.91,0.371,fastdown,371
50195,50217,164.452,5.482,5.756,road,5756
50195,50258,85.603,2.853,2.996,road,2996
50196,50017,62.009,0.517,0.211,fastdown,211
50196,50267,22.688,0.454,0.154,fastup,154
50196,50297,214.9,4.298,1.461,fastup,1461
50197,50373,129.605,1.08,0.441,fastdown,441
50198,50329,127.213,0.816,0.082,coastal,82
50198,50384,74.042,2.468,2.591,road,2591
50198,50391,79.609,2.654,2.786,road,2786
50198,50449,99.656,0.869,0.087,coastal,87
50198,50483,144.636,0.968,0.097,coastal,97
50199,50011,188.005,1.067,0.107,coastal,107
50199,50131,179.656,11.977,1.222,upstream,1222
50199,50179,118.671,0.432,0.043,coastal,43
50199,50208,7.123,0.237,0.249,road,249
50200,50129,409.804,2.419,0.242,overseas,242
50200,50399,49.789,0.333,0.033,coastal,33
50200,50618,79.603,0.556,0.056,coastal,56
50200,50620,277.017,1.741,0.174,coastal,174
50200,50627,400.26,2.398,0.24,overseas,240
50200,50770,24.097,0.803,0.843,road,843
50201,50022,173.581,1.358,0.136,coastal,136
50201,50089,64.909,2.164,2.272,road,2272
50201,50311,186.696,1.589,0.159,coastal,159
50201,50349,140.631,1.143,0.114,coastal,114
50201,50518,78.073,0.564,0.056,coastal,56
50201,50753,54.429,1.814,1.905,road,1905
50202,50025,144.103,4.803,5.044,road,5044
50202,50404,209.953,6.998,7.348,road,7348
50203,50285,105.033,3.501,3.676,road,3676
50203,50379,85.671,2.856,2.998,road,2998
50204,50019,23.158,0.772,0.811,road,811
50204,50223,63.848,2.128,2.235,road,2235
50205,50049,38.091,1.27,1.333,road,1333
50205,50132,17.927,0.598,0.627,road,627
50206,50108,349.111,2.102,0.21,overseas,210
50206,50334,297.946,2.538,0.254,coastal,254
50206,50368,73.498,2.45,2.572,road,2572
50206,50448,279.185,1.624,0.162,overseas,162
50206,50449,637.725,5.474,0.547,coastal,547
50206,50474,276.822,1.647,0.165,coastal,165
50207,50090,14.072,0.469,0.493,road,493
50207,50147,548.639,3.774,0.377,coastal,377
50207,50156,585.576,4.166,0.417,coastal,417
50207,50186,79.466,0.342,0.034,coastal,34
50208,50163,175.495,5.85,6.142,road,6142
50208,50199,7.123,0.237,0.249,road,249
50208,50745,178.29,5.943,6.24,road,6240
50209,50020,42.806,1.427,1.498,road,1498
50209,50034,42.968,1.432,1.504,road,1504
50209,50402,166.795,5.56,5.838,road,5838
50210,50096,109.813,5.491,0.747,upstream,747
50210,50121,90.609,1.51,0.308,downstream,308
50210,50460,117.647,3.922,4.118,road,4118
50211,50013,54.26,1.809,1.899,road,1899
50211,50747,15.165,0.506,0.531,road,531
50212,50287,88.256,2.942,3.089,road,3089
50212,50314,85.744,2.858,3.001,road,3001
50213,50074,43.156,1.439,1.51,road,1510
50213,50165,25.617,0.854,0.897,road,897
50213,50346,100.446,3.348,3.516,road,3516
50214,50029,78.763,2.625,2.757,road,2757
50214,50223,8.089,0.125,0.013,slowcoast,13
50214,50301,175.535,1.583,0.158,coastal,158
50214,50594,62.235,0.437,0.044,coastal,44
50215,50140,112.332,3.744,3.932,road,3932
50215,50346,44.985,1.5,1.574,road,1574
50215,50760,27.12,0.904,0.949,road,949
50216,50380,102.04,3.401,3.571,road,3571
50216,50642,69.777,0.58,0.058,coastal,58
50216,50644,51.721,0.311,0.031,coastal,31
50217,50195,164.452,5.482,5.756,road,5756
50217,50678,14.361,0.479,0.503,road,503
50218,50130,141.41,4.714,4.949,road,4949
50219,50023,134.608,4.487,4.711,road,4711
50219,50076,51.184,1.706,1.791,road,1791
50220,50289,67,2.233,2.345,road,2345
50220,50465,24.011,0.8,0.84,road,840
50221,50148,22.395,0.746,0.784,road,784
50221,50427,41.352,1.378,1.447,road,1447
50222,50148,69.677,2.323,2.439,road,2439
50222,50385,19.823,0.661,0.694,road,694
50223,50204,63.848,2.128,2.235,road,2235
50223,50214,8.089,0.125,0.013,slowcoast,13
50223,50590,71.208,0.461,0.046,coastal,46
50223,50599,52.332,0.506,0.051,coastal,51
50224,50229,15.292,0.51,0.535,road,535
50224,50289,10.003,0.333,0.35,road,350
50225,50024,86.245,2.875,3.019,road,3019
50225,50038,123.216,4.107,4.313,road,4313
50225,50454,87.173,0.55,0.055,coastal,55
50225,50719,125.124,0.882,0.088,slowcoast,88
50225,50766,62.115,2.071,2.174,road,2174
50226,50049,102.066,3.402,3.572,road,3572
50226,50358,91.12,3.037,3.189,road,3189
50227,50389,152.729,5.091,5.346,road,5346
50227,50466,100.859,3.362,3.53,road,3530
50228,50116,99.544,3.318,3.484,road,3484
50228,50287,38.928,1.298,1.362,road,1362
50228,50420,182.409,1.52,0.62,fastdown,620
50228,50743,110.789,2.216,0.753,fastup,753
50229,50224,15.292,0.51,0.535,road,535
50230,50107,716.121,5.116,0.512,coastal,512
50230,50281,149.794,0.913,0.091,coastal,91
50230,50319,232.047,7.735,8.122,road,8122
50230,50456,481.708,3.494,0.349,overseas,349
50230,50492,368.987,2.305,0.231,coastal,231
50230,50515,121.407,0.78,0.078,coastal,78
50230,50538,582.735,3.074,0.307,coastal,307
50231,50061,179.267,5.976,6.274,road,6274
50231,50252,124.049,4.135,4.342,road,4342
50232,50160,103.619,3.454,3.627,road,3627
50232,50409,101.6,3.387,3.556,road,3556
50232,50759,53.122,0.817,0.181,downstream,181
50233,50064,67.024,2.234,2.346,road,2346
50233,50333,175.198,1.011,0.101,coastal,101
50233,50396,103.463,0.881,0.088,coastal,88
50234,50461,71.103,2.37,0.483,upstream,483
50234,50462,13.576,0.272,0.046,downstream,46
50235,50098,72.382,2.413,2.533,road,2533
50235,50101,113.332,0.506,0.051,coastal,51
50235,50185,193.789,1.014,0.101,coastal,101
50235,50238,351.541,1.935,0.194,overseas,194
50235,50330,130.141,0.585,0.058,coastal,58
50235,50415,35.22,1.174,1.233,road,1233
50236,50182,59.858,1.995,2.095,road,2095
50236,50424,17.177,0.573,0.601,road,601
50237,50308,33.898,1.13,1.186,road,1186
50237,50765,11.803,0.393,0.413,road,413
50238,50125,228.941,15.263,1.557,upstream,1557
50238,50185,293.28,2.377,0.238,coastal,238
50238,50235,351.541,2.529,0.253,overseas,253
50239,50068,95.979,3.199,3.359,road,3359
50239,50398,103.433,3.448,3.62,road,3620
50240,50133,64.738,2.158,2.266,road,2266
50240,50147,242.11,1.368,0.137,coastal,137
50240,50180,88.611,2.954,3.101,road,3101
50241,50183,122.423,1.013,0.101,coastal,101
50241,50292,107.241,3.575,3.753,road,3753
50241,50307,58.222,0.374,0.037,coastal,37
50241,50765,41.485,1.383,1.452,road,1452
50242,50057,257.891,17.193,1.754,upstream,1754
50242,50115,109.701,3.657,3.84,road,3840
50242,50337,141.677,4.723,4.959,road,4959
50242,50461,242.789,4.856,0.825,downstream,825
50243,50046,49.553,1.652,1.734,road,1734
50243,50094,62.622,2.087,2.192,road,2192
50243,50165,17.566,0.586,0.615,road,615
50243,50636,16.714,0.557,0.585,road,585
50244,50194,97.381,0.812,0.331,fastdown,331
50244,50321,118.015,2.36,0.803,fastup,803
50245,50169,21.188,0.706,0.742,road,742
50245,50400,28.488,0.95,0.997,road,997
50246,50380,18.296,0.61,0.64,road,640
50246,50404,98.004,3.267,3.43,road,3430
50247,50146,130.91,4.364,4.582,road,4582
50247,50280,40.907,1.364,1.432,road,1432
50248,50005,196.645,6.555,6.883,road,6883
50248,50111,90.836,3.028,3.179,road,3179
50248,50360,159.464,5.315,5.581,road,5581
50248,50744,177.724,5.924,6.22,road,6220
50249,50147,56.567,1.886,1.98,road,1980
50249,50160,101.169,3.372,3.541,road,3541
50249,50180,86.969,2.899,3.044,road,3044
50250,50031,27.356,0.912,0.957,road,957
50250,50040,103.97,0.576,0.058,coastal,58
50250,50176,175.82,1.131,0.113,coastal,113
50250,50264,208.208,1.357,0.136,coastal,136
50250,50482,739.858,4.634,0.463,overseas,463
50250,50483,740.338,4.617,0.462,overseas,462
50250,50716,485.744,3.118,0.312,overseas,312
50251,50127,41.707,1.39,1.46,road,1460
50251,50414,163.312,5.444,5.716,road,5716
50251,50764,49.346,0.759,0.168,downstream,168
50251,50773,44.464,1.482,1.556,road,1556
50252,50088,122.001,4.067,4.27,road,4270
50252,50121,182.239,6.075,6.378,road,6378
50252,50231,124.049,4.135,4.342,road,4342
50253,50126,232.551,7.752,8.139,road,8139
50253,50338,253.882,3.385,0.863,downstream,863
50253,50347,207.672,6.922,7.269,road,7269
50254,50028,75.948,1.168,0.516,upstream,516
50254,50189,32.62,1.087,1.142,road,1142
50254,50382,80.057,0.667,0.272,fastdown,272
50254,50432,71.108,0.79,0.242,downstream,242
50255,50175,30.309,0.262,0.026,coastal,26
50255,50357,12.039,0.125,0.012,coastal,12
50255,50381,25.31,0.844,0.886,road,886
50256,50136,8.914,0.125,0.012,coastal,12
50256,50322,7.472,0.125,0.012,coastal,12
50257,50277,99.1,6.607,0.674,upstream,674
50257,50468,89.882,1.383,0.306,downstream,306
50257,50752,27.535,0.918,0.964,road,964
50258,50150,252.036,8.401,8.821,road,8821
50258,50195,85.603,2.853,2.996,road,2996
50259,50035,296.583,11.863,2.017,upstream,2017
50259,50118,34.127,1.138,1.194,road,1194
50259,50310,301.437,6.029,2.05,fastup,2050
50259,50356,231.464,4.208,0.787,downstream,787
50259,50736,65.711,2.19,2.3,road,2300
50259,50748,227.801,7.593,7.973,road,7973
50260,50021,108.38,3.613,3.793,road,3793
50260,50107,123.464,4.115,4.321,road,4321
50260,50352,42.972,1.432,1.504,road,1504
50261,50078,37.784,1.259,1.322,road,1322
50261,50292,51.888,1.73,1.816,road,1816
50261,50414,94.528,3.151,3.308,road,3308
50262,50130,170.227,5.674,5.958,road,5958
50263,50079,123.485,4.116,4.322,road,4322
50263,50350,149.595,4.986,5.236,road,5236
50263,50472,129.708,4.324,4.54,road,4540
50263,50742,82.708,2.757,2.895,road,2895
50264,50040,181.564,0.944,0.094,coastal,94
50264,50167,141.066,0.886,0.089,coastal,89
50264,50250,208.234,1.261,0.126,coastal,126
50264,50269,134.611,4.487,4.711,road,4711
50264,50398,144.931,4.831,5.073,road,5073
50264,50449,860.849,5.559,0.556,overseas,556
50264,50487,603.456,3.776,0.378,overseas,378
50265,50279,13.065,0.436,0.457,road,457
50265,50366,36.796,1.227,1.288,road,1288
50266,50336,130.033,1.07,0.107,coastal,107
50266,50528,116.198,0.704,0.07,coastal,70
50266,50533,357.582,2.219,0.222,coastal,222
50266,50732,24.238,0.808,0.848,road,848
50267,50196,22.688,0.189,0.077,fastdown,77
50267,50382,61.764,1.235,0.42,fastup,420
50267,50432,94.745,3.158,3.316,road,3316
50268,50278,42.07,1.402,1.472,road,1472
50268,50312,25.663,0.176,0.018,coastal,18
50268,50322,28.509,0.262,0.026,coastal,26
50269,50040,29.93,0.998,1.048,road,1048
50269,50264,134.611,4.487,4.711,road,4711
50270,50063,79.797,2.66,2.793,road,2793
50270,50185,99.922,3.331,3.497,road,3497
50271,50023,300.094,10.003,10.503,road,10503
50271,50272,58.81,1.96,2.058,road,2058
50272,50117,83.286,2.776,2.915,road,2915
50272,50129,95.65,0.337,0.034,coastal,34
50272,50271,58.81,1.96,2.058,road,2058
50272,50599,265.883,1.538,0.154,coastal,154
50272,50619,143.297,0.58,0.058,coastal,58
50273,50467,183.076,0.976,0.098,coastal,98
50273,50534,235.761,7.859,8.252,road,8252
50273,50537,103.213,1.102,0.11,slowcoast,110
50273,50539,25.416,0.178,0.018,coastal,18
50274,50342,136.843,4.561,4.789,road,4789
50274,50347,124.041,4.135,4.341,road,4341
50275,50002,92.174,3.072,3.226,road,3226
50275,50119,280.885,2.341,0.955,fastdown,955
50275,50161,225.509,7.517,7.893,road,7893
50275,50355,101.456,3.382,3.551,road,3551
50276,50158,172.693,3.838,0.587,downstream,587
50276,50282,79.588,1.592,0.541,fastup,541
50277,50041,105.776,2.116,0.719,fastup,719
50277,50257,99.1,0.826,0.337,fastdown,337
50277,50370,237.809,7.927,8.323,road,8323
50278,50268,42.07,1.402,1.472,road,1472
50278,50335,12.162,0.405,0.426,road,426
50279,50265,13.065,0.436,0.457,road,457
50279,50327,104.506,1.608,0.355,downstream,355
50280,50247,40.907,1.364,1.432,road,1432
50280,50399,168.806,1.157,0.116,coastal,116
50280,50611,105.553,0.658,0.066,coastal,66
50281,50230,149.794,0.976,0.098,coastal,98
50281,50331,76.222,0.435,0.044,coastal,44
50282,50079,159.99,3.2,1.088,fastup,1088
50282,50276,79.588,1.769,0.271,downstream,271
50282,50306,190.241,6.341,6.658,road,6658
50282,50757,316.112,10.537,11.064,road,11064
50283,50011,368.029,2.434,0.243,coastal,243
50283,50084,745.139,6.029,0.603,coastal,603
50283,50179,468.699,3.05,0.305,overseas,305
50283,50295,159.881,5.329,5.596,road,5596
50283,50721,74.301,2.477,2.601,road,2601
50283,50726,79.81,1.596,0.543,fastup,543
50284,50373,42.091,0.648,0.286,upstream,286
50284,50660,66.032,0.66,0.225,downstream,225
50285,50093,69.535,2.318,2.434,road,2434
50285,50203,105.033,3.501,3.676,road,3676
50286,50107,603.525,3.862,0.386,overseas,386
50286,50134,131.662,1.135,0.113,coastal,113
50286,50322,213.552,1.386,0.139,coastal,139
50286,50327,28.839,2.884,0.196,upstream,196
50286,50378,125.463,0.862,0.086,coastal,86
50286,50451,282.795,2.161,0.216,overseas,216
50286,50486,432.794,3.04,0.304,overseas,304
50286,50487,309.572,2.488,0.249,overseas,249
50286,50501,426.258,2.741,0.274,overseas,274
50286,50762,317.835,2.024,0.202,coastal,202
50287,50212,88.256,2.942,3.089,road,3089
50287,50228,38.928,1.298,1.362,road,1362
50287,50423,203.948,6.798,7.138,road,7138
50287,50743,70.022,2.334,2.451,road,2451
50288,50192,52.114,0.521,0.177,downstream,177
50288,50194,109.17,1.68,0.742,upstream,742
50289,50048,59.378,1.979,2.078,road,2078
50289,50220,67,2.233,2.345,road,2345
50289,50224,10.003,0.333,0.35,road,350
50290,50364,185.616,6.187,6.497,road,6497
50290,50388,188.943,6.298,6.613,road,6613
50290,50771,170.6,5.687,5.971,road,5971
50291,50017,267.339,1.644,0.164,coastal,164
50291,50112,246.045,2.243,0.224,coastal,224
50291,50602,465.407,4.313,0.431,overseas,431
50291,50682,331.149,11.038,11.59,road,11590
50292,50241,107.241,3.575,3.753,road,3753
50292,50261,51.888,1.73,1.816,road,1816
50292,50309,57.965,1.932,2.029,road,2029
50293,50001,65.681,2.189,2.299,road,2299
50293,50408,52.83,1.761,1.849,road,1849
50294,50414,81.835,2.728,2.864,road,2864
50294,50746,22.494,0.75,0.787,road,787
50295,50283,159.881,5.329,5.596,road,5596
50295,50745,16.086,0.536,0.563,road,563
50296,50191,131.948,4.398,4.618,road,4618
50296,50389,41.609,1.387,1.456,road,1456
50297,50017,357.875,2.982,0.298,coastal,298
50297,50123,155.424,5.181,5.44,road,5440
50297,50189,167.973,5.599,5.879,road,5879
50297,50196,214.9,14.327,0.731,downstream,731
50297,50432,125.495,2.51,0.853,fastup,853
50297,50452,439.788,3.343,0.334,overseas,334
50297,50654,193.645,0.959,0.096,coastal,96
50298,50052,96.213,3.207,3.367,road,3367
50298,50424,11.195,0.373,0.392,road,392
50299,50060,196.321,6.544,6.871,road,6871
50299,50362,43.219,1.441,1.513,road,1513
50299,50427,29.584,0.986,1.035,road,1035
50300,50006,49.855,1.662,1.745,road,1745
50300,50340,135.162,4.505,4.731,road,4731
50300,50363,106.835,3.561,3.739,road,3739
50301,50029,79.463,2.649,2.781,road,2781
50301,50129,105.987,0.939,0.094,coastal,94
50301,50187,149.217,4.974,5.223,road,5223
50301,50214,147.52,0.902,0.09,coastal,90
50301,50599,112.959,0.687,0.069,coastal,69
50301,50612,80.12,0.509,0.051,coastal,51
50302,50008,118.707,3.957,4.155,road,4155
50302,50181,182.717,6.091,6.395,road,6395
50302,50304,206.549,6.885,7.229,road,7229
50303,50160,73.306,4.887,0.498,upstream,498
50303,50185,475.271,2.977,0.298,overseas,298
50303,50471,207.89,1.531,0.153,coastal,153
50303,50759,182.809,1.196,0.12,coastal,120
50304,50080,86.706,2.89,3.035,road,3035
50304,50178,24.233,0.808,0.848,road,848
50304,50302,206.549,6.885,7.229,road,7229
50304,50760,91.64,3.055,3.207,road,3207
50305,50718,57.267,1.909,2.004,road,2004
50305,50725,19.258,0.642,0.674,road,674
50306,50282,190.241,6.341,6.658,road,6658
50306,50350,141.358,4.712,4.948,road,4948
50306,50751,102.928,3.431,3.602,road,3602
50307,50134,195.869,1.3,0.13,coastal,130
50307,50174,87.221,5.815,0.593,upstream,593
50307,50241,58.222,0.433,0.043,coastal,43
50307,50761,96.778,0.671,0.067,coastal,67
50307,50765,10.076,0.336,0.353,road,353
50308,50174,34.578,1.153,1.21,road,1210
50308,50237,33.898,1.13,1.186,road,1186
50309,50292,57.965,1.932,2.029,road,2029
50309,50754,226.69,3.488,0.771,downstream,771
50309,50764,22.656,0.453,0.154,fastup,154
50309,50772,48.62,1.621,1.702,road,1702
50309,50773,19.015,0.634,0.666,road,666
50310,50259,301.437,2.512,1.025,fastdown,1025
50310,50343,129.908,4.33,4.547,road,4547
50310,50423,156.099,10.407,1.061,upstream,1061
50310,50738,37.65,1.255,1.318,road,1318
50311,50022,160.575,1.14,0.114,coastal,114
50311,50201,186.696,1.237,0.124,coastal,124
50311,50349,126.254,0.85,0.085,coastal,85
50311,50383,117.469,0.879,0.088,coastal,88
50312,50268,25.663,0.194,0.019,coastal,19
50312,50335,71.263,0.443,0.044,coastal,44
50313,50093,155.046,5.168,5.427,road,5427
50313,50371,34.117,1.137,1.194,road,1194
50313,50422,155.214,5.174,5.432,road,5432
50314,50056,126.177,4.206,4.416,road,4416
50314,50212,85.744,2.858,3.001,road,3001
50314,50408,104.719,6.981,0.712,upstream,712
50314,50743,162.509,2.5,0.553,downstream,553
50315,50168,21.482,0.716,0.752,road,752
50315,50473,25.576,0.853,0.895,road,895
50315,50763,45.765,1.526,1.602,road,1602
50316,50318,104.231,3.474,3.648,road,3648
50317,50327,27.387,2.739,0.186,upstream,186
50318,50030,79.321,2.644,2.776,road,2776
50318,50316,104.231,3.474,3.648,road,3648
50319,50036,323.354,1.624,0.162,coastal,162
50319,50230,232.047,7.735,8.122,road,8122
50319,50515,164.46,1.708,0.171,coastal,171
50320,50138,99.743,3.325,3.491,road,3491
50320,50538,115.556,0.79,0.079,coastal,79
50320,50545,114.8,0.753,0.075,coastal,75
50321,50130,152.233,3.045,1.035,fastup,1035
50321,50244,118.015,0.983,0.401,fastdown,401
50322,50136,6.401,0.213,0.224,road,224
50322,50256,7.472,0.125,0.012,coastal,12
50322,50268,28.509,0.228,0.023,coastal,23
50322,50286,213.552,1.783,0.178,coastal,178
50322,50378,101.753,0.91,0.091,coastal,91
50322,50762,115.546,0.763,0.076,coastal,76
50323,50022,158.667,1.02,0.102,coastal,102
50323,50042,54.598,0.373,0.037,coastal,37
50323,50383,199.31,1.258,0.126,coastal,126
50323,50502,77.985,2.6,2.729,road,2729
50323,50504,115.786,0.846,0.085,coastal,85
50323,50754,91.328,6.089,0.621,upstream,621
50324,50047,95.146,3.172,3.33,road,3330
50324,50327,71.577,2.386,2.505,road,2505
50325,50370,125.35,8.357,0.852,upstream,852
50325,50743,146.431,1.22,0.498,fastdown,498
50326,50417,118.846,0.974,0.097,slowcoast,97
50326,50516,18.515,0.125,0.012,ferry,12
50326,50521,72.044,0.523,0.052,coastal,52
50326,50762,270.492,2.355,0.235,coastal,235
50327,50134,126.445,4.215,4.426,road,4426
50327,50173,70.543,2.351,2.469,road,2469
50327,50279,104.506,6.967,0.711,upstream,711
50327,50286,28.839,0.444,0.098,downstream,98
50327,50317,27.387,0.228,0.093,fastdown,93
50327,50324,71.577,2.386,2.505,road,2505
50327,50393,28.372,0.946,0.993,road,993
50327,50425,100.804,3.36,3.528,road,3528
50327,50720,68.622,2.287,2.402,road,2402
50328,50354,135.146,1.282,0.128,slowcoast,128
50328,50396,333.886,3.262,0.326,coastal,326
50329,50120,68.887,2.296,2.411,road,2411
50329,50198,127.213,0.979,0.098,coastal,98
50329,50334,202.004,6.733,7.07,road,7070
50329,50483,53.119,0.341,0.034,coastal,34
50330,50101,87.884,0.671,0.067,coastal,67
50330,50185,84.117,0.658,0.066,slowcoast,66
50330,50235,130.141,0.726,0.073,coastal,73
50330,50412,320.984,2.409,0.241,coastal,241
50331,50281,76.222,0.489,0.049,coastal,49
50331,50374,270.613,9.02,9.471,road,9471
50331,50492,194.709,1.284,0.128,coastal,128
50332,50005,128.115,4.271,4.484,road,4484
50332,50145,197.378,1.336,0.134,coastal,134
50332,50379,221.838,1.596,0.16,coastal,160
50332,50450,102.034,0.681,0.068,coastal,68
50333,50064,95.329,3.178,3.337,road,3337
50333,50233,188.497,1.695,0.169,coastal,169
50333,50396,279.874,2.386,0.239,overseas,239
50334,50206,297.946,1.805,0.18,coastal,180
50334,50329,202.004,6.733,7.07,road,7070
50334,50394,25.872,0.862,0.906,road,906
50334,50482,78.652,0.714,0.071,coastal,71
50335,50278,12.162,0.405,0.426,road,426
50335,50312,71.263,0.528,0.053,coastal,53
50335,50417,304.483,10.149,10.657,road,10657
50336,50034,431.935,3.464,0.346,coastal,346
50336,50049,246.364,1.692,0.169,coastal,169
50336,50089,81.06,2.702,2.837,road,2837
50336,50266,130.033,0.793,0.079,coastal,79
50336,50351,209.021,6.967,7.316,road,7316
50336,50358,241.489,1.502,0.15,coastal,150
50336,50518,96.535,0.831,0.083,coastal,83
50336,50533,435.804,2.775,0.278,coastal,278
50337,50054,95.175,3.172,3.331,road,3331
50337,50185,106.506,3.55,3.728,road,3728
50337,50242,141.677,4.723,4.959,road,4959
50338,50161,51.924,1.731,1.817,road,1817
50338,50253,253.882,25.388,1.726,upstream,1726
50338,50428,117.285,0.977,0.399,fastdown,399
50339,50423,45.368,1.512,1.588,road,1588
50339,50747,76.54,2.551,2.679,road,2679
50340,50153,362.735,12.091,12.696,road,12696
50340,50300,135.162,4.505,4.731,road,4731
50340,50363,85.465,2.849,2.991,road,2991
50341,50392,48.791,1.626,1.708,road,1708
50341,50735,16.749,0.558,0.586,road,586
50342,50274,136.843,4.561,4.789,road,4789
50342,50401,125.568,4.186,4.395,road,4395
50343,50310,129.908,4.33,4.547,road,4547
50343,50344,51.815,1.727,1.814,road,1814
50343,50748,204.031,6.801,7.141,road,7141
50343,50768,95.904,3.197,3.357,road,3357
50344,50105,56.047,1.868,1.962,road,1962
50344,50343,51.815,1.727,1.814,road,1814
50344,50420,64.068,2.136,2.242,road,2242
50345,50151,58.514,1.95,2.048,road,2048
50345,50749,12.939,0.431,0.453,road,453
50346,50094,64.062,2.135,2.242,road,2242
50346,50178,60.628,2.021,2.122,road,2122
50346,50213,100.446,3.348,3.516,road,3516
50346,50215,44.985,1.5,1.574,road,1574
50347,50253,207.672,6.922,7.269,road,7269
50347,50274,124.041,4.135,4.341,road,4341
50347,50443,45.28,1.509,1.585,road,1585
50348,50055,55.19,1.84,1.932,road,1932
50348,50407,124.276,4.143,4.35,road,4350
50349,50045,35.118,1.171,1.229,road,1229
50349,50201,140.615,0.974,0.097,coastal,97
50349,50311,126.254,1.039,0.104,coastal,104
50349,50383,122.548,4.085,4.289,road,4289
50350,50263,149.595,4.986,5.236,road,5236
50350,50306,141.358,4.712,4.948,road,4948
50350,50367,202.659,6.755,7.093,road,7093
50351,50336,209.021,6.967,7.316,road,7316
50351,50361,91.517,3.051,3.203,road,3203
50351,50737,102.884,3.429,3.601,road,3601
50352,50260,42.972,1.432,1.504,road,1504
50352,50384,66.391,2.213,2.324,road,2324
50353,50437,56.917,1.897,1.992,road,1992
50353,50447,77.905,0.854,0.085,coastal,85
50353,50622,223.317,1.209,0.121,coastal,121
50353,50624,176.139,0.928,0.093,coastal,93
50354,50016,28.995,0.967,1.015,road,1015
50354,50328,135.146,0.978,0.098,coastal,98
50354,50474,176.637,1.607,0.161,coastal,161
50354,50713,344.659,2.389,0.239,overseas,239
50355,50119,197.967,6.599,6.929,road,6929
50355,50275,101.456,3.382,3.551,road,3551
50356,50259,231.464,9.259,1.574,upstream,1574
50356,50359,137.508,9.167,0.935,upstream,935
50356,50419,79.366,0.661,0.27,fastdown,270
50357,50104,38.984,1.299,1.364,road,1364
50357,50136,66.419,0.466,0.047,coastal,47
