origin,dest,weight,link_id
0,1,3,11
2,1,3,1594
3,1,3,337
4,5,9,14
6,5,9,2362
7,5,9,2281
8,5,9,1770
9,5,9,1079
10,5,9,922
11,5,9,814
3,5,1,183
12,13,3,21
14,13,3,4178
3,13,3,153
15,16,2,51
3,16,2,269
3,17,1,377
3,18,2,372
3,19,1,371
3,20,1,370
3,21,1,368
3,22,1,365
3,23,1,364
3,24,6,363
3,25,3,362
3,26,2,360
3,27,3,357
3,28,1,355
3,29,1,354
3,30,1,351
3,31,1,345
3,32,7,343
3,33,3,338
3,34,1,333
3,35,1,332
3,36,3,331
3,37,2,330
3,38,24,329
3,39,5,328
3,40,88,327
3,41,5,323
3,42,1,322
3,43,1,321
3,44,1,319
3,45,2,318
3,46,1,315
3,47,1,314
3,48,1,309
3,49,1,308
3,50,1,307
3,51,2,304
3,52,3,303
3,53,3,300
3,54,1,298
3,55,10,297
3,56,1,296
3,57,1,294
3,58,1,292
3,59,1,290
3,60,1,288
3,61,1,283
3,62,1,281
3,63,4,280
3,64,1,279
3,65,16,278
3,66,17,277
3,67,1,275
3,68,3,274
3,69,17,271
3,70,1,270
3,71,2,267
3,72,2,266
3,73,1,264
3,74,1,263
3,75,1,260
3,76,3,257
3,77,4,254
3,78,17,253
3,79,1,248
3,80,1,243
3,81,3,241
3,82,1,238
3,83,1,236
3,84,2,235
3,85,2,231
3,86,55,228
3,87,2,227
3,88,1,226
3,89,1,225
3,90,5,223
3,91,22,220
3,92,4,219
3,93,3,218
3,94,1,216
3,95,1,214
3,96,1,213
3,97,2,211
3,98,1,210
3,99,2,209
3,100,1,206
3,101,1,201
3,102,1,200
3,103,3,197
3,104,3,195
3,105,2,193
3,106,1,190
3,107,4,189
3,108,3,188
3,109,1,187
3,110,2,186
3,111,1,185
3,112,1,182
3,113,1,181
3,114,2,180
3,115,1,179
3,116,2,176
3,117,1,175
3,118,4,168
3,119,1,167
3,120,2,165
3,121,1,164
3,122,2,162
3,123,1,160
3,124,2,159
3,125,3,154
3,126,1,152
3,127,1,150
3,128,1,149
3,129,1,148
3,130,1,147
3,131,1,146
3,132,1,145
3,133,2,141
3,134,1,139
3,135,5,138
3,136,1,137
3,137,1,134
3,138,1,133
3,139,1,132
3,140,1,131
3,141,1,128
3,142,1,127
3,143,1,126
3,144,3,125
3,145,1,123
3,146,2,122
3,147,1,121
3,148,2,117
3,149,3,114
3,150,20,111
3,151,1,108
3,152,1,106
3,153,1,105
3,154,1,104
3,155,12,102
3,156,1,99
3,157,3,96
3,158,1,95
3,159,1,94
3,160,1,93
3,161,1,90
3,162,2,89
3,163,3,87
3,164,2,86
3,165,5,85
3,166,3,84
3,167,1,83
3,168,1,82
3,169,1,81
3,170,1,79
3,171,1,78
3,172,1,77
3,173,2,76
3,174,1,75
3,175,1,74
3,176,1,73
3,177,3,71
3,178,1,70
3,179,1,68
3,180,1,65
3,181,1,63
3,182,2,62
183,180,9,4328
184,180,9,3606
185,180,9,3467
186,180,9,3329
187,180,9,2430
2,180,9,1603
188,180,9,1360
189,179,9,7429
190,179,9,7402
191,179,9,7358
192,179,9,7254
193,179,1,3281
194,179,9,2614
195,179,9,2583
196,179,9,2467
197,179,9,1860
198,177,3,1321
199,175,11,1639
200,173,2,6500
106,167,3,3415
201,166,3,1367
202,166,3,1004
203,165,1,2218
204,165,5,2027
205,165,5,2006
206,165,5,1971
207,165,5,1616
208,163,3,848
209,163,3,701
210,162,2,4918
211,162,19,862
212,158,1,3144
213,158,1,2344
214,157,3,749
215,157,3,703
155,216,1,4617
155,108,2,4616
217,155,1,5176
218,155,12,4598
219,155,12,4508
220,155,12,4490
221,155,12,4132
222,155,2,4121
223,155,12,4096
224,155,12,3762
69,155,12,3257
225,155,12,3211
226,155,2,1245
227,153,1,6493
228,150,20,2701
229,149,4,7206
230,149,4,6900
231,149,3,4709
232,149,3,4440
233,149,9,4374
234,149,9,4344
235,149,9,4005
236,149,9,3000
237,149,9,2639
238,149,9,2453
239,147,2,4211
240,147,2,4140
241,146,2,1791
144,144,3,1201
242,144,4,502
243,144,4,428
244,144,4,387
245,135,5,7604
246,135,5,7583
247,135,5,7565
248,135,5,7551
249,133,2,4167
250,127,2,560
251,127,2,479
252,125,3,3683
253,124,2,6728
254,122,4,5833
255,122,4,2691
256,122,4,2622
257,122,4,2427
258,122,2,2289
259,120,2,1101
260,118,4,5699
261,118,4,5072
262,118,4,3366
263,116,1,6144
264,116,2,484
265,114,2,1896
266,114,2,1497
267,110,2,1335
268,108,5,3027
269,108,1,1986
270,108,5,1566
271,108,3,1278
272,108,3,1142
202,108,5,1003
273,108,2,635
274,107,4,7577
104,107,1,3870
275,105,2,6090
276,104,3,6242
277,104,2,6034
278,104,3,4241
279,103,3,6329
280,103,3,2982
281,99,13,3545
282,99,2,2519
188,97,2,1362
283,95,1,6040
284,93,3,5913
285,92,7,6072
286,92,3,5909
232,92,3,4438
287,92,2,2758
288,92,3,2737
289,92,4,2562
290,92,2,2542
291,92,4,2445
292,92,4,2258
293,91,5,7420
294,91,22,7155
295,91,22,6339
296,91,22,5940
297,91,22,5879
298,91,22,4255
299,91,22,3037
90,90,23,695
300,90,23,5908
301,90,23,4406
302,90,5,691
303,90,5,679
304,90,5,673
305,90,5,666
306,87,2,998
307,86,19,2865
308,86,19,2855
309,86,19,2822
310,86,19,2803
311,86,19,2795
312,86,19,2520
313,86,19,2342
314,86,19,2298
315,86,55,2280
316,86,55,2247
317,86,19,2108
318,86,55,2088
319,86,19,1929
320,86,55,1633
266,86,19,1496
321,86,19,1200
322,86,55,1043
323,86,19,766
324,85,2,5847
325,84,2,5964
326,81,3,1849
327,81,3,1592
328,78,17,5926
329,78,17,5850
330,78,17,1914
331,77,4,1885
332,77,4,1875
333,77,4,1804
334,76,3,7346
335,76,1,6365
276,76,1,6244
336,76,2,5922
337,76,2,5875
338,76,3,5760
267,76,1,1334
339,72,2,7630
340,71,2,1941
341,69,17,4076
342,69,17,3952
343,69,17,3949
344,69,17,3897
345,69,17,3698
346,69,17,3375
347,69,3,2429
6,69,17,2361
8,69,17,1771
207,69,17,1617
2,69,17,1601
348,69,17,1403
9,69,17,1080
349,69,17,570
350,69,17,509
351,68,3,808
352,66,17,2256
353,65,16,5478
354,65,16,5463
355,65,16,5455
356,65,16,5370
357,65,16,5346
358,65,16,5345
359,65,16,4842
360,65,16,3595
361,65,16,2725
362,65,16,1887
2,65,16,1600
363,65,16,953
364,65,16,512
365,63,4,1731
356,62,1,5369
366,55,10,5201
367,55,10,3691
368,55,10,2835
369,55,10,999
370,53,3,912
52,52,3,2431
371,51,2,1157
372,45,3,7123
373,45,2,5698
2,45,2,1602
374,45,2,1009
375,45,2,592
376,41,5,900
377,41,5,813
378,41,5,782
379,41,5,462
380,40,88,4563
381,40,88,3940
382,40,88,1765
383,40,88,1198
384,39,5,2189
385,39,5,2174
386,39,5,2164
387,39,5,2163
388,38,24,2166
389,38,24,1809
390,37,2,5448
391,36,3,1968
392,33,3,5610
393,33,3,5268
394,32,7,5626
2,32,7,1598
395,27,3,5129
396,27,3,1023
397,25,3,7040
398,25,3,6895
399,24,6,5267
400,24,6,5249
401,24,6,4912
402,24,6,4771
193,24,6,3282
403,18,2,1352
214,404,2,748
405,404,2,6139
406,407,2059,783
408,407,1166,2074
202,409,0,1002
267,410,1,1331
188,411,3,1361
412,411,3,3916
266,413,1,1498
2,414,3,1607
2,415,1,1605
2,416,1,1604
2,417,3,1599
2,418,1,1595
419,417,3,6241
420,417,3,1931
421,414,3,3131
422,414,3,2321
423,408,2,7108
356,408,2,5371
312,424,19,2521
425,424,19,7637
426,424,19,7514
427,424,19,7311
428,424,19,6511
429,424,19,4251
194,430,19,2613
431,430,19,5722
432,430,19,5516
433,430,19,5481
434,430,19,3108
280,435,1,2981
193,436,4,3280
437,436,2,6949
438,436,4,6696
439,436,4,6210
252,440,1,3680
285,441,2,6071
276,442,1,6243